#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          40           1139.1823        5.72701        908.03603        4.56722        1453.0830        7.30041       -20.29%     27.55%
          40          80           2665.2080        7.72539        2119.3870        6.14688        3408.5638        9.87295       -20.48%     27.89%
          80         120           2720.2025        5.67041        2155.5689        4.49606        3492.6000        7.28029       -20.76%     28.39%
         120         160           1945.1489        3.70181        1535.5434        2.92467        2508.3327        4.77538       -21.06%     28.95%
         160         200           1163.6132        2.39101        915.30909        1.88408        1506.7558        3.09558       -21.34%     29.49%
         200         240           640.61148        1.56179        502.29596        1.22856        832.62944        2.02706       -21.59%     29.97%
         240         280           342.85471        1.03414        268.08890       0.812970        447.05872        1.34382       -21.81%     30.39%
         280         330           173.57374       0.602132        135.45090       0.473775        226.87209       0.782040       -21.96%     30.71%
         330         380           83.087045       0.386847        64.663284       0.304354        108.93856       0.502658       -22.17%     31.11%
         380         430           41.147238       0.258209        31.981821       0.203578        54.035581       0.334764       -22.27%     31.32%
         430         500           19.510607       0.143850        15.150833       0.113711        25.651199       0.185969       -22.35%     31.47%
         500         800           3.6805726      0.0289907        2.8526746      0.0229409        4.8498192      0.0374246       -22.49%     31.77%
         800        6500         0.013651772    0.000395303      0.010573588    0.000312896      0.017995595    0.000508801       -22.55%     31.82%
