#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          40           1130.7006        5.74513        902.13563        4.56369        1440.0119        7.34485       -20.21%     27.36%
          40          80           2692.0362        7.90087        2142.2239        6.26195        3438.6283        10.1290       -20.42%     27.73%
          80         120           2758.0225        5.75332        2185.6190        4.52943        3539.7698        7.43526       -20.75%     28.34%
         120         160           1977.3285        3.73512        1559.6537        2.91821        2551.5264        4.87084       -21.12%     29.04%
         160         200           1189.2941        2.39354        933.73685        1.85722        1543.0219        3.14677       -21.49%     29.74%
         200         240           657.61876        1.54132        514.03860        1.18875        857.59615        2.04060       -21.83%     30.41%
         240         280           353.64219        1.00444        275.38102       0.770529        463.24614        1.33811       -22.13%     30.99%
         280         330           179.65094       0.568049        139.43052       0.433759        236.25076       0.760797       -22.39%     31.51%
         330         380           86.169779       0.351181        66.660878       0.267005        113.74507       0.472655       -22.64%     32.00%
         380         430           42.841277       0.223806        33.065837       0.169549        56.706421       0.302464       -22.82%     32.36%
         430         500           20.050752       0.117235        15.439927      0.0884891        26.611493       0.159116       -23.00%     32.72%
         500         800           3.7186158      0.0207370        2.8537544      0.0155562        4.9547214      0.0283504       -23.26%     33.24%
         800        6500         0.013398243    0.000203837      0.010221399    0.000152313      0.017967130    0.000279980       -23.71%     34.10%
