#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          40           1791.3611        12.1603        1576.0863        9.02234        2018.0785        17.0162       -12.02%     12.66%
          40          80           4162.9220        20.7929        3671.7345        15.2481        4667.6105        29.3346       -11.80%     12.12%
          80         120           4227.7833        22.1838        3730.5486        16.0588        4729.3228        31.6117       -11.76%     11.86%
         120         160           3047.1383        18.1419        2681.7092        13.0534        3414.8156        25.9911       -11.99%     12.07%
         160         200           1873.6814        13.0555        1637.6358        9.37837        2117.2739        18.7275       -12.60%     13.00%
         200         240           1037.0938        8.84740        903.36437        6.33277        1175.8172        12.7394       -12.89%     13.38%
         240         280           576.84930        5.52603        498.83771        3.94721        660.05973        7.97830       -13.52%     14.42%
         280         330           294.53074        2.40505        253.67409        1.71719        338.58973        3.48369       -13.87%     14.96%
         330         380           144.31337        1.34161        123.56029       0.958306        167.12721        1.94487       -14.38%     15.81%
         380         430           71.666601       0.770842        61.242741       0.551104        83.169553        1.11807       -14.54%     16.05%
         430         500           34.804639       0.317562        29.563775       0.229772        40.704778       0.456927       -15.06%     16.95%
         500         800           6.5144223      0.0422954        5.5091668      0.0313764        7.6581408      0.0596945       -15.43%     17.56%
         800        6500         0.023461909    0.000328014      0.019770901    0.000252737      0.027668684    0.000448767       -15.73%     17.93%
