#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          40           770.26416        14.0156        543.93269        19.6987        848.11595        10.3226       -29.38%     10.11%
          40          80           3433.1685        20.7013        3156.2151        15.1744        3634.7661        27.5414        -8.07%      5.87%
          80         120           4273.9047        20.9680        3767.2111        15.1833        4787.1514        29.8931       -11.86%     12.01%
         120         160           3436.2092        36.2216        2959.7089        25.9920        3975.2417        51.8662       -13.87%     15.69%
         160         200           2329.7799        33.9188        1961.4403        24.3243        2778.8948        48.5746       -15.81%     19.28%
         200         240           1359.6075        8.60154        1131.6027        6.16292        1645.3309        12.3743       -16.77%     21.02%
         240         280           780.19300        5.42612        642.07992        3.87548        957.63999        7.83723       -17.70%     22.74%
         280         330           416.12638        2.52287        339.02602        1.80065        517.24738        3.65361       -18.53%     24.30%
         330         380           207.11511        1.37515        167.52028       0.981731        259.68314        1.99427       -19.12%     25.38%
         380         430           107.42386       0.822664        86.227968       0.586822        135.96774        1.19536       -19.73%     26.57%
         430         500           51.919380       0.316947        41.486588       0.229162        66.060072       0.456577       -20.09%     27.24%
         500         800           10.050585      0.0435350        7.9629403      0.0321250        12.919273      0.0617923       -20.77%     28.54%
         800        6500         0.037756230    0.000320396      0.029615816    0.000247518      0.049101300    0.000437846       -21.56%     30.05%
