#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          40           2798.6311        12.8866        2293.6123        9.50635        3473.6986        18.1264       -18.05%     24.12%
          40          80           4882.7387        21.6358        4180.3434        15.8333        5717.5101        30.5734       -14.39%     17.10%
          80         120           4174.3368        21.8854        3688.0986        15.8578        4662.1802        31.1610       -11.65%     11.69%
         120         160           2647.4083        17.3410        2396.8739        12.4990        2837.2869        24.8086        -9.46%      7.17%
         160         200           1425.0017        13.0142        1319.0137        9.36221        1471.7885        17.2690        -7.44%      3.28%
         200         240           735.91984        8.45738        690.70834        6.04957        745.57787        11.1735        -6.14%      1.31%
         240         280           371.64682        5.23991        354.30336        3.73933        373.25851        5.76007        -4.67%      0.43%
         280         330           179.70758        2.45554        169.89792        3.55734        180.03760        2.23671        -5.46%      0.18%
         330         380           82.086984        1.37521        75.359669        1.99433        82.541618        1.24689        -8.20%      0.55%
         380         430           38.765070       0.840541        34.464561        1.21900        39.146732       0.759796       -11.09%      0.98%
         430         500           18.077211       0.325613        15.902606       0.468524        18.300864       0.295719       -12.03%      1.24%
         500         800           3.1623432      0.0415567        2.6678543      0.0583958        3.2204182      0.0383891       -15.64%      1.84%
         800        6500        0.0094155257    0.000333754     0.0065716866    0.000456739      0.010111179    0.000256774       -30.20%      7.39%
