#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          40           10957.828        12.6568        10135.817        17.3884        11175.586        11.9852        -7.50%      1.99%
          40          80           3461.6232        7.82397        2452.7586        5.49506        5032.4299        11.4954       -29.14%     45.38%
          80         120           1336.8725        3.23129        942.53784        2.24967        1954.9426        4.79818       -29.50%     46.23%
         120         160           673.44344        1.77809        473.00576        1.23108        989.13464        2.65848       -29.76%     46.88%
         160         200           380.90354        1.11641        266.55981       0.769244        561.81652        1.67845       -30.02%     47.50%
         200         240           228.61107       0.741103        159.54340       0.509454        338.23190        1.11702       -30.21%     47.95%
         240         280           143.11225       0.513430        99.614596       0.351995        212.35637       0.776235       -30.39%     48.38%
         280         330           88.039945       0.317386        61.118401       0.217051        131.02527       0.481131       -30.58%     48.82%
         330         380           51.760078       0.211893        35.836566       0.144520        77.258969       0.322160       -30.76%     49.26%
         380         430           31.578992       0.146146        21.814690      0.0994699        47.249403       0.222718       -30.92%     49.62%
         430         500           18.249745      0.0826746        12.575487      0.0560223        27.378750       0.126776       -31.09%     50.02%
         500         800           4.7176669      0.0154790        3.2362058      0.0104743        7.1116914      0.0237339       -31.40%     50.75%
         800        6500         0.029052280    0.000153269      0.019739296    0.000102949      0.044228712    0.000236816       -32.06%     52.24%
