#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          40           1777.5342        14.6873        1565.6419        10.7734        1999.5528        20.7209       -11.92%     12.49%
          40          80           4152.9852        21.5592        3664.8241        15.7699        4652.7873        30.4817       -11.75%     12.03%
          80         120           4220.4581        20.6523        3724.7611        14.9707        4720.0088        29.4162       -11.75%     11.84%
         120         160           3036.4792        35.8295        2674.8736        25.7197        3397.7129        51.2873       -11.91%     11.90%
         160         200           1881.1002        33.9061        1642.8182        24.3202        2128.2731        48.5449       -12.67%     13.14%
         200         240           1058.4336        8.20556        918.94670        5.87545        1205.7026        11.8179       -13.18%     13.91%
         240         280           574.99052        5.13819        497.54557        3.66609        657.33429        7.43335       -13.47%     14.32%
         280         330           301.30322        2.57343        258.41983        1.83585        348.55557        3.72754       -14.23%     15.68%
         330         380           144.88872        1.40910        123.98754        1.00524        167.91560        2.04430       -14.43%     15.89%
         380         430           74.522332       0.888828        63.288815       0.633448        87.262747        1.29107       -15.07%     17.10%
         430         500           35.191952       0.325334        29.841509       0.235028        41.257900       0.468684       -15.20%     17.24%
         500         800           6.6985058      0.0429089        5.6383888      0.0317555        7.9289865      0.0606853       -15.83%     18.37%
         800        6500         0.023709847    0.000326437      0.019956094    0.000251739      0.028004302    0.000446294       -15.83%     18.11%
