#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          40           1139.2318        5.73712        908.07934        4.57521        1453.1391        7.31341       -20.29%     27.55%
          40          80           2665.6243        7.73894        2119.7223        6.15754        3409.0868        9.89044       -20.48%     27.89%
          80         120           2720.0881        5.67964        2155.4851        4.50326        3492.4399        7.29232       -20.76%     28.39%
         120         160           1944.9083        3.70735        1535.3550        2.92894        2508.0202        4.78269       -21.06%     28.95%
         160         200           1163.4116        2.39439        915.15067        1.88666        1506.4949        3.10009       -21.34%     29.49%
         200         240           640.68453        1.56412        502.35217        1.23032        832.72625        2.03020       -21.59%     29.97%
         240         280           342.86077        1.03556        268.09363       0.814033        447.06661        1.34574       -21.81%     30.39%
         280         330           173.58479       0.602872        135.45961       0.474325        226.88634       0.783056       -21.96%     30.71%
         330         380           83.102311       0.387301        64.674977       0.304688        108.95893       0.503287       -22.17%     31.11%
         380         430           41.148113       0.258435        31.982624       0.203745        54.036475       0.335077       -22.27%     31.32%
         430         500           19.513797       0.143990        15.153170       0.113811        25.655669       0.186169       -22.35%     31.47%
         500         800           3.6816406      0.0290116        2.8534761      0.0229557        4.8512744      0.0374551       -22.49%     31.77%
         800        6500         0.013656434    0.000395448      0.010576974    0.000312995      0.018002187    0.000509020       -22.55%     31.82%
