#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          40           1072.2474        5.63205        859.07838        4.49877        1359.5212        7.16327       -19.88%     26.79%
          40          80           2511.4890        7.52194        2006.9915        5.99655        3193.5076        9.58861       -20.09%     27.16%
          80         120           2569.9549        5.62034        2046.0310        4.46882        3281.6630        7.18959       -20.39%     27.69%
         120         160           1840.4539        3.75344        1459.4938        2.97592        2360.7422        4.81953       -20.70%     28.27%
         160         200           1106.5449        2.47579        874.26876        1.95823        1425.4242        3.18920       -20.99%     28.82%
         200         240           606.01700        1.63845        477.30474        1.29370        783.52082        2.11563       -21.24%     29.29%
         240         280           327.38909        1.10263        257.12826       0.869733        424.67461        1.42596       -21.46%     29.72%
         280         330           163.93155       0.646188        128.44727       0.509523        213.23709       0.836382       -21.65%     30.08%
         330         380           79.141467       0.421087        61.873773       0.332084        103.21232       0.545101       -21.82%     30.41%
         380         430           39.245390       0.283750        30.632920       0.223947        51.281526       0.367111       -21.95%     30.67%
         430         500           18.672231       0.159881        14.552992       0.126227        24.441663       0.206818       -22.06%     30.90%
         500         800           3.5118173      0.0322850        2.7326583      0.0255285        4.6058340      0.0416856       -22.19%     31.15%
         800        6500         0.013232167    0.000443766      0.010290282    0.000351033      0.017360222    0.000571688       -22.23%     31.20%
