#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          40           10447.895        8.16476        8303.9180        6.52069        13368.508        10.3838       -20.52%     27.95%
          40          80                   0              0                0              0                0              0            0%         0%
          80         120                   0              0                0              0                0              0            0%         0%
         120         160                   0              0                0              0                0              0            0%         0%
         160         200                   0              0                0              0                0              0            0%         0%
         200         240                   0              0                0              0                0              0            0%         0%
         240         280                   0              0                0              0                0              0            0%         0%
         280         330                   0              0                0              0                0              0            0%         0%
         330         380                   0              0                0              0                0              0            0%         0%
         380         430                   0              0                0              0                0              0            0%         0%
         430         500                   0              0                0              0                0              0            0%         0%
         500         800                   0              0                0              0                0              0            0%         0%
         800        6500                   0              0                0              0                0              0            0%         0%
