#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          40           1064.2865        5.13887        853.64943        4.09471        1347.0563        6.54552       -19.79%     26.57%
          40          80           2532.9513        6.97526        2025.8737        5.54498        3216.2097        8.90959       -20.02%     26.97%
          80         120           2604.9908        5.18196        2074.5448        4.09695        3323.9896        6.66187       -20.36%     27.60%
         120         160           1867.6556        3.43920        1480.2240        2.70159        2396.4487        4.45507       -20.74%     28.31%
         160         200           1126.4147        2.25321        888.55983        1.75936        1453.2826        2.93924       -21.12%     29.02%
         200         240           621.98078        1.47657        488.49321        1.14663        806.57757        1.93836       -21.46%     29.68%
         240         280           334.67603       0.978455        261.86190       0.756114        435.91950        1.29170       -21.76%     30.25%
         280         330           170.43939       0.564072        132.89429       0.433946        222.90510       0.748487       -22.03%     30.78%
         330         380           81.631969       0.354905        63.443611       0.271843        107.16565       0.473288       -22.28%     31.28%
         380         430           40.462350       0.230529        31.368746       0.175865        53.275019       0.308858       -22.47%     31.67%
         430         500           19.211870       0.124877        14.855818      0.0948423        25.371440       0.168172       -22.67%     32.06%
         500         800           3.5367766      0.0225238        2.7254519      0.0170160        4.6893594      0.0305173       -22.94%     32.59%
         800        6500         0.012739766    0.000233761     0.0097542451    0.000175177      0.017011779    0.000319807       -23.43%     33.53%
