#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          40           10580.585        7.61176        8405.6688        6.07516        13540.661        9.67916       -20.56%     27.98%
          40          80                   0              0                0              0                0              0            0%         0%
          80         120                   0              0                0              0                0              0            0%         0%
         120         160                   0              0                0              0                0              0            0%         0%
         160         200                   0              0                0              0                0              0            0%         0%
         200         240                   0              0                0              0                0              0            0%         0%
         240         280                   0              0                0              0                0              0            0%         0%
         280         330                   0              0                0              0                0              0            0%         0%
         330         380                   0              0                0              0                0              0            0%         0%
         380         430                   0              0                0              0                0              0            0%         0%
         430         500                   0              0                0              0                0              0            0%         0%
         500         800                   0              0                0              0                0              0            0%         0%
         800        6500                   0              0                0              0                0              0            0%         0%
