#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          40           1748.7104        12.0653        1533.5878        8.95765        1982.8954        16.8105       -12.30%     13.39%
          40          80           4011.1459        20.0165        3533.7356        14.7127        4513.7952        28.1075       -11.90%     12.53%
          80         120           4118.1067        21.3584        3625.2381        15.5577        4631.1978        30.1931       -11.97%     12.46%
         120         160           2966.3410        17.5484        2603.1599        12.7229        3345.2511        24.9113       -12.24%     12.77%
         160         200           1812.9701        12.0702        1582.7405        8.70369        2056.2052        17.2390       -12.70%     13.42%
         200         240           1027.1674        7.38309        889.95034        5.30873        1176.2506        10.5886       -13.36%     14.51%
         240         280           565.84921        4.16087        487.32520        2.99373        652.76377        5.97383       -13.88%     15.36%
         280         330           287.54975        2.07376        246.85062        1.49551        332.89363        2.97483       -14.15%     15.77%
         330         380           140.76670        1.29054        120.13140       0.928721        164.18232        1.85581       -14.66%     16.63%
         380         430           72.533268       0.745221        61.385840       0.537962        85.570451        1.07035       -15.37%     17.97%
         430         500           34.801188       0.315143        29.334643       0.230724        41.261214       0.447959       -15.71%     18.56%
         500         800           6.5340387      0.0431018        5.4742460      0.0324876        7.8096098      0.0598094       -16.22%     19.52%
         800        6500         0.024614633    0.000369086      0.020296022    0.000288437      0.030087910    0.000496213       -17.54%     22.24%
