#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          40           803.31677        10.9693        628.83616        15.2492        855.09039        8.17812       -21.72%      6.44%
          40          80           3316.9190        18.3763        3040.3282        13.5317        3530.1502        24.2943        -8.34%      6.43%
          80         120           4157.4960        20.4331        3657.7687        14.8689        4677.7074        28.9359       -12.02%     12.51%
         120         160           3364.5125        17.1048        2890.3478        12.3877        3912.1889        24.3230       -14.09%     16.28%
         160         200           2215.3437        11.1135        1869.9866        8.02140        2636.0262        15.8720       -15.59%     18.99%
         200         240           1319.0415        6.89957        1097.5133        4.96460        1598.7159        9.89482       -16.79%     21.20%
         240         280           751.96405        4.20327        619.00113        3.01967        923.75730        6.04525       -17.68%     22.85%
         280         330           401.08578        2.01863        326.87102        1.45486        498.90513        2.90023       -18.50%     24.39%
         330         380           203.15095        1.23561        163.94700       0.890769        255.76237        1.77503       -19.30%     25.90%
         380         430           106.37760       0.723489        85.071076       0.522751        135.45654        1.03894       -20.03%     27.34%
         430         500           52.081751       0.301926        41.374208       0.221580        66.862874       0.428718       -20.56%     28.38%
         500         800           10.139538      0.0414582        7.9707130      0.0313922        13.189265      0.0573496       -21.39%     30.08%
         800        6500         0.040118385    0.000368728      0.030871210    0.000287469      0.053618683    0.000498372       -23.05%     33.65%
