#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          40           2666.9382        11.4866        2192.2491        8.54277        3298.8638        15.9955       -17.80%     23.69%
          40          80           4711.6397        19.2849        4031.4412        14.1945        5528.8138        27.0593       -14.44%     17.34%
          80         120           4068.4124        20.9033        3585.0188        15.2231        4570.4635        29.5646       -11.88%     12.34%
         120         160           2584.1177        16.9891        2328.3410        12.3018        2798.9777        24.1560        -9.90%      8.31%
         160         200           1423.2125        11.2992        1304.0578        8.14963        1495.6250        16.1405        -8.37%      5.09%
         200         240           727.70279        7.26632        677.27647        5.22985        746.30317        9.56104        -6.93%      2.56%
         240         280           375.84625        4.40582        352.97645        3.16530        380.65083        5.76729        -6.08%      1.28%
         280         330           180.34896        2.29450        171.36156        1.65228        181.48482        2.52589        -4.98%      0.63%
         330         380           81.198828        1.38947        76.731521        1.99852        81.279407        1.53995        -5.50%       0.1%
         380         430           38.641211       0.758070        35.521842        1.08896        38.869558       0.688694        -8.07%      0.59%
         430         500           18.185295       0.323065        16.626027       0.459373        18.267409       0.295030        -8.57%      0.45%
         500         800           3.1298192      0.0437552        2.7257880      0.0606102        3.1716756      0.0406696       -12.91%      1.34%
         800        6500        0.0095721688    0.000359772     0.0072139229    0.000477681      0.010051909    0.000283668       -24.64%      5.01%
