#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          40           10884.083        11.2779        10354.644        15.3831        11050.926        10.7237        -4.86%      1.53%
          40          80           3197.4718        7.16893        2281.0626        5.06562        4610.6670        10.4542       -28.66%     44.20%
          80         120           1241.2022        3.00801        880.71707        2.10561        1801.1400        4.43696       -29.04%     45.11%
         120         160           636.22188        1.70325        449.27637        1.18417        928.41049        2.53258       -29.38%     45.93%
         160         200           362.52750        1.08821        254.85703       0.751760        531.78013        1.63056       -29.70%     46.69%
         200         240           222.64425       0.747179        155.84117       0.513678        328.21820        1.12579       -30.00%     47.42%
         240         280           141.39773       0.530853        98.575154       0.363376        209.40786       0.803885       -30.29%     48.10%
         280         330           89.042947       0.340052        61.783141       0.231399        132.58858       0.518516       -30.61%     48.90%
         330         380           53.809516       0.235292        37.164770       0.159354        80.545440       0.360744       -30.93%     49.69%
         380         430           33.957892       0.170263        23.339014       0.114639        51.117172       0.262787       -31.27%     50.53%
         430         500           20.187014       0.100972        13.801423      0.0673964        30.569944       0.157622       -31.63%     51.43%
         500         800           5.6011762      0.0204446        3.7887821      0.0135348        8.5863931      0.0321876       -32.36%     53.30%
         800        6500         0.041194358    0.000250560      0.027182173    0.000161580      0.064961327    0.000406819       -34.01%     57.69%
