#  left-edge  right-edge       scale-central  central-error        scale-min      min-error        scale-max      max-error      rel-down     rel-up
           0          40           1721.5445        10.3728        1513.7517        7.75087        1944.8045        14.4110       -12.07%     12.97%
          40          80           4017.4128        17.5896        3538.0339        12.9752        4523.2952        24.6683       -11.93%     12.59%
          80         120           4107.8017        19.9570        3617.5494        14.5185        4616.9731        28.2797       -11.93%     12.40%
         120         160           2982.2893        16.5354        2615.5289        11.9583        3365.9155        23.5560       -12.30%     12.86%
         160         200           1825.5861        10.2787        1591.3039        7.42190        2075.4461        14.6829       -12.83%     13.69%
         200         240           1019.5768        6.78063        884.83940        4.88440        1164.6231        9.71251       -13.22%     14.23%
         240         280           561.96109        4.44949        484.65238        3.19231        646.96390        6.40459       -13.76%     15.13%
         280         330           293.88500        2.24712        251.38196        1.61715        341.99416        3.22775       -14.46%     16.37%
         330         380           143.58308        1.33974        122.11272       0.964181        168.31158        1.92547       -14.95%     17.22%
         380         430           72.485541       0.737334        61.391347       0.532448        85.407926        1.05905       -15.31%     17.83%
         430         500           35.465857       0.310525        29.804820       0.227544        42.227686       0.441165       -15.96%     19.07%
         500         800           6.7353185      0.0422313        5.6155819      0.0319517        8.1054436      0.0583398       -16.62%     20.34%
         800        6500         0.025075920    0.000359578      0.020627097    0.000282784      0.030744695    0.000480229       -17.74%     22.61%
